Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
80,15794.0,5664.0,13120.0,11856.0,0,235173,False,0.451,0.7,10,-6.597,0,0.0431,0.455,0.00233,0.405,0.37,150.055,4,acoustic
81,30377.0,5664.0,3391.0,28093.0,0,195213,False,0.546,0.391,2,-10.786,0,0.063,0.784,2.72e-06,0.0552,0.202,139.669,4,acoustic
82,20710.0,4614.0,10281.0,25871.0,68,236306,False,0.561,0.327,11,-10.835,0,0.0327,0.902,0.000469,0.111,0.298,161.858,4,acoustic
83,5412.0,5664.0,24180.0,22176.0,0,181400,False,0.479,0.541,0,-9.862,1,0.0543,0.74,0.0,0.108,0.3,85.994,4,acoustic
84,17501.0,5664.0,4407.0,22176.0,0,181400,False,0.479,0.541,0,-9.862,1,0.0543,0.74,0.0,0.108,0.3,85.994,4,acoustic
85,24941.0,4614.0,10281.0,11223.0,61,164500,False,0.436,0.4,7,-11.485,1,0.0272,0.904,0.00105,0.125,0.351,100.734,4,acoustic
86,37333.0,13494.0,20295.0,3904.0,70,220573,False,0.551,0.836,10,-3.838,0,0.0524,0.00502,2.1e-05,0.0425,0.758,185.063,4,acoustic
87,17158.0,7882.0,18698.0,16655.0,0,257493,False,0.409,0.153,6,-10.74,0,0.0306,0.939,2.56e-05,0.108,0.18,85.262,4,acoustic
88,16097.0,7882.0,12142.0,16655.0,0,257493,False,0.409,0.153,6,-10.74,0,0.0306,0.939,2.56e-05,0.108,0.18,85.262,4,acoustic
89,4810.0,5333.0,3282.0,11838.0,62,210612,False,0.6,0.845,10,-7.076,1,0.0311,0.048,0.0,0.24,0.392,97.631,4,acoustic
90,410.0,15066.0,18698.0,12909.0,0,154440,False,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68e-06,0.107,0.218,90.078,4,acoustic
91,30912.0,15066.0,1490.0,12909.0,0,154440,False,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68e-06,0.107,0.218,90.078,4,acoustic
93,17312.0,15066.0,1016.0,12909.0,0,154440,False,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68e-06,0.107,0.218,90.078,4,acoustic
94,44114.0,15066.0,12142.0,12909.0,0,154440,False,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68e-06,0.107,0.218,90.078,4,acoustic
95,6214.0,15066.0,4148.0,12909.0,0,154440,False,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68e-06,0.107,0.218,90.078,4,acoustic
96,2950.0,15066.0,24099.0,12909.0,0,154440,False,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68e-06,0.107,0.218,90.078,4,acoustic
97,10957.0,15066.0,4205.0,12909.0,0,154440,False,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68e-06,0.107,0.218,90.078,4,acoustic
98,41497.0,7882.0,5342.0,12274.0,0,177613,False,0.661,0.937,4,-5.157,0,0.0979,0.322,1.04e-06,0.19,0.805,105.549,4,acoustic
99,42625.0,7882.0,14907.0,26708.0,0,199040,False,0.603,0.78,0,-5.531,1,0.0438,0.139,0.0,0.164,0.693,100.499,4,acoustic
100,2738.0,10616.0,25812.0,23182.0,58,293040,False,0.626,0.655,9,-6.69,1,0.0263,0.503,0.0,0.13,0.542,92.003,4,acoustic
101,27270.0,2511.0,18859.0,25980.0,50,138495,False,0.794,0.38,10,-8.769,0,0.0477,0.762,0.0,0.262,0.617,114.99,4,acoustic
102,22473.0,867.0,3068.0,22041.0,59,198626,False,0.52,0.279,5,-10.739,0,0.0547,0.894,0.000105,0.103,0.0951,69.642,4,acoustic
103,8120.0,2214.0,4746.0,18478.0,57,292566,False,0.545,0.658,1,-7.174,1,0.0474,0.496,0.0,0.105,0.683,76.971,4,acoustic
104,561.0,2209.0,19142.0,26374.0,60,199019,False,0.728,0.266,8,-7.322,1,0.0293,0.872,1.03e-05,0.114,0.307,115.189,4,acoustic
105,13981.0,5665.0,5241.0,16767.0,61,181760,False,0.66,0.407,7,-8.381,1,0.0571,0.236,0.0,0.109,0.257,133.86,4,acoustic
106,29567.0,10544.0,23834.0,33832.0,49,349920,False,0.357,0.161,8,-10.667,1,0.0388,0.971,1.4e-05,0.358,0.325,83.449,4,acoustic
107,2878.0,7393.0,23664.0,32524.0,55,204973,False,0.479,0.154,2,-11.282,1,0.0352,0.915,0.0,0.0974,0.36,147.207,4,acoustic
108,4403.0,8238.0,9219.0,12138.0,51,322146,False,0.592,0.769,2,-5.268,1,0.0311,0.319,4.66e-06,0.137,0.385,102.033,4,acoustic
111,25839.0,867.0,5760.0,7352.0,58,218531,False,0.507,0.378,9,-9.019,1,0.0332,0.852,0.000212,0.0937,0.085,135.86,4,acoustic
