id,name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,sideEffect5,sideEffect6,sideEffect7,sideEffect8,sideEffect9,sideEffect10,sideEffect11,sideEffect12,sideEffect13,sideEffect14,sideEffect15,sideEffect16,sideEffect17,sideEffect18,sideEffect19,sideEffect20,sideEffect21,sideEffect22,sideEffect23,sideEffect24,sideEffect25,sideEffect26,sideEffect27,sideEffect28,sideEffect29,sideEffect30,sideEffect31,sideEffect32,sideEffect33,sideEffect34,sideEffect35,sideEffect36,sideEffect37,sideEffect38,sideEffect39,sideEffect40,sideEffect41,use0,use1,use2,use3,use4,Chemical Class,Habit Forming,Therapeutic Class,Action Class
30,aldactone tablet,Aldobloc 25mg Tablet,Spirix 25mg Tablet,Spiromax 25mg Tablet,Spirolact 25mg Tablet,Spironot 25 Tablet,Nausea,Vomiting,Leg cramps,Dizziness,Drowsiness,Confusion,Breast enlargement in male,Increased creatinine level in blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hypertension (high blood pressure), Edema, Low potassium, Heart failure,,Potassium sparing diuretics,No,CARDIAC,Potassium- sparing Diuretics
98,aldactone 50 tablet,Spilactone 50mg Tablet,Spirix 50 Tablet,Spirolact 50mg Tablet,Edeflow 50 Tablet,Aldotone 50mg Tablet,Nausea,Vomiting,Leg cramps,Dizziness,Drowsiness,Confusion,Breast enlargement in male,Increased creatinine level in blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hypertension (high blood pressure), Edema, Low potassium, Heart failure,,Potassium sparing diuretics,No,CARDIAC,Potassium- sparing Diuretics
108,avamys nasal spray,,,,,,Nasal inflammation,Headache,Nosebleeds,Nasal ulceration,Breathlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,,,,,Glucocorticoids,No,RESPIRATORY,Glucocorticoids
125,avanair 100 tablet,Avanext 100mg Tablet,,,,,Headache,"Flushing (sense of warmth in the face, ears, neck and trunk)",Nasal congestion (stuffy nose),Nasopharyngitis (inflammation of the throat and nasal passages),Back pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Erectile dysfunction,,,,,Pyrimidinecarboxamides,No,SEX STIMULANTS REJUVENATORS,
127,aquazide 12.5 tablet,DavaIndia Hydrochlorothiazide 12.5mg Tablet,Xenia 12.5mg Tablet,Thiazide 12.5mg Tablet,Bpzide 12.5mg Tablet,Dizide 12.5mg Tablet,Headache,Nausea,Altered blood lipid level,Weakness,Dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Treatment of Edema,,,,Benzothiadiazines (Thiazides),No,CARDIAC,Low-ceiling Diuretics (Inhibitors of Na+Cl symport)
161,allegra nasal spray,Isomet-F Nasal Spray,Sinospray-FT Nasal Spray,Spiroflut Nasal Spray,Spiroflut Nasal Spray,Ryno Nasal Spray,Nasal inflammation,Headache,Nosebleeds,Nasal ulceration,Breathlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,,,,,Glucocorticoids,No,RESPIRATORY,Glucocorticoids
169,aquaviron injection 1ml,,,,,,"Injection site reactions (pain, swelling, redness)",Acne,Voice change,Breast enlargement in male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Male hypogonadism,,,,,Androgens Derivative,No,SEX STIMULANTS REJUVENATORS,Androgens
173,assurans tablet,Sildaflow 20mg Tablet,Pulmoday 20mg Tablet,PAH 20 Tablet,Esylnafil 20mg Tablet,Penegra Pah Tablet,"Flushing (sense of warmth in the face, ears, neck and trunk)",Headache,Stiffness,Nosebleeds,Blurred vision,Indigestion,Muscle pain,Upset stomach,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Erectile dysfunction,,,,,Benzenesulfonamide Derivative,No,SEX STIMULANTS REJUVENATORS,Phosphodiesterase-V inhibitors
226,alivher tablet,Silagra 25 Tablet,Optithik 25mg Tablet,Shefill Tablet,Ethic 25mg Tablet,Endowal-S Tablet,"Flushing (sense of warmth in the face, ears, neck and trunk)",Headache,Stiffness,Nosebleeds,Blurred vision,Indigestion,Muscle pain,Upset stomach,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Erectile dysfunction,,,,,Benzenesulfonamide Derivative,No,SEX STIMULANTS REJUVENATORS,Phosphodiesterase-V inhibitors
254,atonide gel,Proceroid D Gel,Dadgel 0.05% Gel,,,,"Application site reactions (burning, irritation, itching and redness)",Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Skin conditions with inflammation & itching,,,,,Glucocorticoids,No,DERMA,Glucocorticoids
337,assurans tablet,Sildaflow 20mg Tablet,Pulmoday 20mg Tablet,PAH 20 Tablet,Esylnafil 20mg Tablet,Penegra Pah Tablet,"Flushing (sense of warmth in the face, ears, neck and trunk)",Headache,Stiffness,Nosebleeds,Blurred vision,Indigestion,Muscle pain,Upset stomach,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Erectile dysfunction,,,,,Benzenesulfonamide Derivative,No,SEX STIMULANTS REJUVENATORS,Phosphodiesterase-V inhibitors
340,aquaviron 40mg capsule,Testoki 40mg Capsule,Nuvir 40mg Capsule,Andriol 40mg Capsule,Testonova 40mg Capsule,Androsar 40mg Capsule,Diarrhea,Stomach discomfort,Increased sweating,"Injection site reactions (pain, swelling, redness)",Acne,Voice change,Breast enlargement in male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Male hypogonadism,,,,,Androgens Derivative,No,SEX STIMULANTS REJUVENATORS,Androgens
385,aldactone 100 tablet,Lactone 100mg Tablet,SPILACTONE 100 MG TABLET,Silectone 100 Tablet,Edeflow 100 Tablet,Cglactone 100mg Tablet,Nausea,Vomiting,Leg cramps,Dizziness,Drowsiness,Confusion,Breast enlargement in male,Increased creatinine level in blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hypertension (high blood pressure), Edema, Low potassium, Heart failure,,Potassium sparing diuretics,No,CARDIAC,Potassium- sparing Diuretics
464,atonide-h cream,Locort Cream,Sorias Cream,Urea HC Cream,Delster Cream,Drocort Cream,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Eczema, Severe allergic reactions,Treatment of Allergic conditions,Treatment of Cancer,Treatment of Skin disorders,Glucocorticoids,No,RESPIRATORY,Glucocorticoids
481,avanair 200 tablet,Avanext 200 Tablet,,,,,Headache,"Flushing (sense of warmth in the face, ears, neck and trunk)",Nasal congestion (stuffy nose),Nasopharyngitis (inflammation of the throat and nasal passages),Back pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Erectile dysfunction,,,,,Pyrimidinecarboxamides,No,SEX STIMULANTS REJUVENATORS,
497,aquazide 25 tablet,Xenia 25mg Tablet,Hydrazide 25 Tablet,Thiazide 25mg Tablet,Bpzide 25mg Tablet,Hydride 25mg Tablet,Headache,Nausea,Altered blood lipid level,Weakness,Dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Treatment of Edema,,,,Benzothiadiazines (Thiazides),No,CARDIAC,Low-ceiling Diuretics (Inhibitors of Na+Cl symport)
518,avanext 100mg tablet,Avanair 100 Tablet,,,,,Headache,"Flushing (sense of warmth in the face, ears, neck and trunk)",Nasal congestion (stuffy nose),Nasopharyngitis (inflammation of the throat and nasal passages),Back pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Erectile dysfunction,,,,,Pyrimidinecarboxamides,No,SEX STIMULANTS REJUVENATORS,
545,atonide cream,Desostar 0.05% Cream,Desomod Cream,Desova Cream,Desomag Cream,Dermanide Cream,"Application site reactions (burning, irritation, itching and redness)",Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Skin conditions with inflammation & itching,,,,,Glucocorticoids,No,DERMA,Glucocorticoids
677,armod 50 tablet,Acronite 50 Tablet,Walkalarm 50mg Tablet,Armovin 50 Tablet,Waklert 50 Tablet,Armovigil 50mg Tablet,Headache,Dizziness,Nausea,Insomnia (difficulty in sleeping),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Narcolepsy (Uncontrollable daytime sleepiness),,,,,Diphenylmethane Derivative,Yes,NEURO CNS,Stimulant/ Drug for excessive sleepiness
732,androgel,Androfil Gel,Testoheal Gel,Androtas Gel,Cernos Gel,Androrise Gel,"Injection site reactions (pain, swelling, redness)",Acne,Voice change,Breast enlargement in male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Male hypogonadism,,,,,Androgens Derivative,No,SEX STIMULANTS REJUVENATORS,Androgens
782,androgel,Androfil Gel,Testoheal Gel,Androtas Gel,Cernos Gel,Androrise Gel,"Injection site reactions (pain, swelling, redness)",Acne,Voice change,Breast enlargement in male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Male hypogonadism,,,,,Androgens Derivative,No,SEX STIMULANTS REJUVENATORS,Androgens
798,acutrol c 400 tablet,Phoscut 400 Tablet,Revlamer 400 Tablet,Forsemer 400mg Tablet,Selaglob 400mg Tablet,Acutrol 400 Tablet,Nausea,Vomiting,Upper abdominal pain,Flatulence,Constipation,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, High phosphate levels in blood,,,,,Epoxide,No,OTHERS,Phosphorous binder
833,anin tablet,Dubnil 5mg Tablet,Fetugard 5mg Tablet,Pregular 5mg Tablet,Prolin A 5mg Tablet,Lutanin 5mg Tablet,Edema (swelling),Bloating,Depression,Headache,Fatigue,Altered libido,Irregular menstrual cycle,Gastrointestinal disturbance,Excessive hair growth on face,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Premature Labor,Treatment of Recurrent miscarriage,,,,Estrane Steroids,No,GYNAECOLOGICAL,Progestins- Others
865,androtas gel,Androfil Gel,Testoheal Gel,Androgel,Cernos Gel,Androrise Gel,"Injection site reactions (pain, swelling, redness)",Acne,Voice change,Breast enlargement in male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Male hypogonadism,,,,,Androgens Derivative,No,SEX STIMULANTS REJUVENATORS,Androgens
885,andriol 40mg testocap,Testoki 40mg Capsule,Nuvir 40mg Capsule,Andriol 40mg Capsule,Testonova 40mg Capsule,Androsar 40mg Capsule,Diarrhea,Stomach discomfort,Increased sweating,"Injection site reactions (pain, swelling, redness)",Acne,Voice change,Breast enlargement in male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Male hypogonadism,,,,,Androgens Derivative,No,SEX STIMULANTS REJUVENATORS,Androgens
906,abortab 200mg tablet,Medabon 200mg Tablet,Termipil 200mg Tablet,Pregnot 200mg Tablet,Termipil 200mg Kit,Mifecon 200mg Tablet,Nausea,Vomiting,Uterine cramps,Diarrhea,Infection following abortion,Uterine bleeding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Medical abortion,,,,,Oxosteroid,No,GYNAECOLOGICAL,Anti-progesterone
911,attentrol 10mg capsule,Tomoxetin 10mg Capsule,Atexitine 10 Capsule,,,,Headache,Nausea,Vomiting,Sleepiness,Decreased appetite,Abdominal pain,Increased heart rate,High blood pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Attention deficit hyperactivity disorder (ADHD),,,,,Propylamine Derivative,No,NEURO CNS,Sympthatomimmetics-ADHD (Non stimulant)
939,auradex 4mg tablet,Decdak 4mg Tablet,Dexford 4mg Tablet,Decdan 4mg Tablet,Dexane 4mg Tablet,Dexa 4mg Tablet,Cardiovascular complications,Metabolic disorder,Infection,Hiccup,Decreased sperm count,Cushing syndrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Inflammatory conditions,Treatment of Autoimmune conditions,,,,Glucocorticoids,No,HORMONES,Glucocorticoids
1003,axepta 18mg tablet,Atmosril 18mg Tablet,Attera 18mg Tablet,Atomox 18mg Tablet,Atonext 18 Tablet,Tomkid 18mg Tablet,Headache,Nausea,Vomiting,Sleepiness,Decreased appetite,Abdominal pain,Increased heart rate,High blood pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Attention deficit hyperactivity disorder (ADHD),,,,,Propylamine Derivative,No,NEURO CNS,Sympthatomimmetics-ADHD (Non stimulant)
1064,alkem nandrolone 50mg injection,Nanac 50mg Injection,Andron 50mg Injection,Biobol 50mg Injection,Deca Ndr 50mg Injection,ND Gold 50mg Injection,Edema (swelling),Nausea,Breast enlargement,Acne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Post menopausal osteoporosis,,,,,Anabolic steroid,No,HORMONES,Anabolic steroid
1101,axepta 25mg tablet,Tomkid 25mg Tablet,Atom 25mg Tablet,Atmosril 25mg Tablet,Atokem 25mg Tablet,Attera 25mg Tablet,Headache,Nausea,Vomiting,Sleepiness,Decreased appetite,Abdominal pain,Increased heart rate,High blood pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Attention deficit hyperactivity disorder (ADHD),,,,,Propylamine Derivative,No,NEURO CNS,Sympthatomimmetics-ADHD (Non stimulant)
1172,alerflo nasal spray,Furaspray 27.5mcg Nasal Spray,Flutirest 27.5mcg Nasal Spray,Filson 27.5mcg Nasal Spray,Flavson 27.5mcg Nasal Spray,Ibinase Nasal Spray,Nasal irritation,Headache,Nosebleeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Sneezing and runny nose due to allergies, Severe allergic reactions,Treatment of Skin conditions with inflammation & itching,,,Glucocorticoids,No,RESPIRATORY,Glucocorticoids
1187,austril 27.5mcg nasal spray,Furaspray 27.5mcg Nasal Spray,Flutirest 27.5mcg Nasal Spray,Filson 27.5mcg Nasal Spray,Flavson 27.5mcg Nasal Spray,Ibinase Nasal Spray,Nasal irritation,Headache,Nosebleeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Sneezing and runny nose due to allergies, Severe allergic reactions,Treatment of Skin conditions with inflammation & itching,,,Glucocorticoids,No,RESPIRATORY,Glucocorticoids
1196,anadrol 50mg injection,Biobol 50mg Injection,Zedodec 50mg Injection,Deca Ndr 50mg Injection,ND Gold 50mg Injection,Decabact 50mg Injection,Edema (swelling),Nausea,Breast enlargement,Acne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Post menopausal osteoporosis,,,,,Anabolic steroid,No,HORMONES,Anabolic steroid
1233,agra 100mg tablet,Vigore 100 Red Tablet,Power Vegra 100mg Tablet,Stimulo 100 Tablet,Silderect Gold 100mg Tablet,Fullenzoy 100 Tablet,"Flushing (sense of warmth in the face, ears, neck and trunk)",Headache,Stiffness,Nosebleeds,Blurred vision,Indigestion,Muscle pain,Upset stomach,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Erectile dysfunction,,,,,Benzenesulfonamide Derivative,No,SEX STIMULANTS REJUVENATORS,Phosphodiesterase-V inhibitors
1284,anytime 100mg jelly,Bigfun Jelly Mint Cool,,,,,"Flushing (sense of warmth in the face, ears, neck and trunk)",Headache,Stiffness,Nosebleeds,Blurred vision,Indigestion,Muscle pain,Upset stomach,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Erectile dysfunction,,,,,Benzenesulfonamide Derivative,No,SEX STIMULANTS REJUVENATORS,Phosphodiesterase-V inhibitors
1293,avanext 200 tablet,Avanair 200 Tablet,,,,,Headache,"Flushing (sense of warmth in the face, ears, neck and trunk)",Nasal congestion (stuffy nose),Nasopharyngitis (inflammation of the throat and nasal passages),Back pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Erectile dysfunction,,,,,Pyrimidinecarboxamides,No,SEX STIMULANTS REJUVENATORS,
1309,armod 150 tablet,Biryth 150 Tablet,Vigilant 150mg Tablet,Acronite 150 Tablet,Walkalarm 150mg Tablet,Waklert 150 Tablet,Headache,Dizziness,Nausea,Insomnia (difficulty in sleeping),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Narcolepsy (Uncontrollable daytime sleepiness),,,,,Diphenylmethane Derivative,Yes,NEURO CNS,Stimulant/ Drug for excessive sleepiness
1332,androsure 40mg capsule,Testoki 40mg Capsule,Nuvir 40mg Capsule,Andriol 40mg Capsule,Testonova 40mg Capsule,Androsar 40mg Capsule,Diarrhea,Stomach discomfort,Increased sweating,"Injection site reactions (pain, swelling, redness)",Acne,Voice change,Breast enlargement in male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Male hypogonadism,,,,,Androgens Derivative,No,SEX STIMULANTS REJUVENATORS,Androgens
1361,assurans injection,Pulmosil 0.8mg Injection,,,,,"Flushing (sense of warmth in the face, ears, neck and trunk)",Headache,Stiffness,Nosebleeds,Blurred vision,Indigestion,Muscle pain,Upset stomach,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Erectile dysfunction,,,,,Benzenesulfonamide Derivative,No,SEX STIMULANTS REJUVENATORS,Phosphodiesterase-V inhibitors
1371,attentrol 18 capsule,Tomoxetin 18mg Capsule,Atokem 18mg Capsule,Atexitine 18 Capsule,,,Headache,Nausea,Vomiting,Sleepiness,Decreased appetite,Abdominal pain,Increased heart rate,High blood pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Attention deficit hyperactivity disorder (ADHD),,,,,Propylamine Derivative,No,NEURO CNS,Sympthatomimmetics-ADHD (Non stimulant)
1397,attera 10mg tablet,Atmosril 10mg Tablet,Atokem 10mg Tablet,Atonext 10 Tablet,Atomox 10 Tablet,Atomoxet 10mg Tablet,Headache,Nausea,Vomiting,Sleepiness,Decreased appetite,Abdominal pain,Increased heart rate,High blood pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Attention deficit hyperactivity disorder (ADHD),,,,,Propylamine Derivative,No,NEURO CNS,Sympthatomimmetics-ADHD (Non stimulant)
1503,anort 30 tablet,Zefcort 30mg Tablet,Defdil 30mg Tablet,Zomcort 30mg Tablet,Defta 30mg Tablet,Cortosept 30mg Tablet,Increased appetite,Weight gain,Frequent urge to urinate,Cushing syndrome,Cough,Upper respiratory tract infection,Abnormal hair growth,Obesity,Nasopharyngitis (inflammation of the throat and nasal passages),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Inflammatory conditions,Treatment of Autoimmune conditions,Treatment of Cancer,,,"Gluco/mineralocorticoids, progestogins and derivatives",No,HORMONES,Glucocorticoids
1612,aquamet 50mcg nasal spray,Megaspray Spray,Isomet-M Nasal Spray,Rhine M Nasal Spray,Mozapt 50mcg Nasal Spray,Momeprl Nasal Spray,Respiratory tract infection,Headache,Sore throat,Itching,Nosebleeds,Viral infection,Upper respiratory tract infection,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Skin conditions with inflammation & itching,,,,,"Gluco/mineralocorticoids, progestogins and derivatives",No,DERMA,Glucocorticoids
1627,acutrol c 800 tablet,Phoscut 800 Tablet,Revlamer 800 Tablet,Foschek S 800mg Tablet,Acutrol 800 Tablet,Sevenox 800mg Tablet,Nausea,Vomiting,Upper abdominal pain,Flatulence,Constipation,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, High phosphate levels in blood,,,,,Epoxide,No,OTHERS,Phosphorous binder
1633,acticort 10mg tablet,Monocortil 10mg Tablet,Predly 10mg Tablet,Nucort Forte 10mg Tablet,Pednisol 10mg Tablet,Pcort 10mg Tablet,Reduction in bone density,Upset stomach,Behavioral changes,Mood changes,Weight gain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Severe allergic reactions,Treatment of Allergic conditions,Treatment of Rheumatic disorder,Treatment of Skin disorders,Treatment of Eye disorders,Glucocorticoids,No,OPHTHAL OTOLOGICALS,Glucocorticoids
1642,acucort 100mg injection,Unicort 100mg Injection,Wosone 100mg Injection,Multicort 100mg Injection,Biosone 100mg Injection,H Cort 100mg Injection,"Injection site reactions (pain, swelling, redness)",Mood changes,Increased risk of infection,Weight gain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Severe allergic reactions,Treatment of Allergic conditions,Treatment of Cancer,Treatment of Skin disorders,Treatment of Eye disorders,Glucocorticoids,No,RESPIRATORY,Glucocorticoids
1652,acticort 5mg tablet,Predly 5mg Tablet,Predicort 5mg Tablet,Pednisol 5mg Tablet,Monocortil 5mg Tablet,Prednij 5mg Tablet,Reduction in bone density,Upset stomach,Behavioral changes,Mood changes,Weight gain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Severe allergic reactions,Treatment of Allergic conditions,Treatment of Rheumatic disorder,Treatment of Skin disorders,Treatment of Eye disorders,Glucocorticoids,No,OPHTHAL OTOLOGICALS,Glucocorticoids
1667,axunil nasal spray,Furaspray 27.5mcg Nasal Spray,Flutirest 27.5mcg Nasal Spray,Filson 27.5mcg Nasal Spray,Flavson 27.5mcg Nasal Spray,Ibinase Nasal Spray,Nasal irritation,Headache,Nosebleeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Sneezing and runny nose due to allergies, Severe allergic reactions,Treatment of Skin conditions with inflammation & itching,,,Glucocorticoids,No,RESPIRATORY,Glucocorticoids
1669,androfil 40mg capsule,Testoki 40mg Capsule,Nuvir 40mg Capsule,Andriol 40mg Capsule,Testonova 40mg Capsule,Androsar 40mg Capsule,Diarrhea,Stomach discomfort,Increased sweating,"Injection site reactions (pain, swelling, redness)",Acne,Voice change,Breast enlargement in male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Male hypogonadism,,,,,Androgens Derivative,No,SEX STIMULANTS REJUVENATORS,Androgens
1782,azacort 6 tablet,Zefcort 6 Tablet,Tricort 6mg Tablet,Sterozit 6mg Tablet,Mahacort DZ 6 Tablet,Flacort 6mg Tablet,Increased appetite,Weight gain,Frequent urge to urinate,Cushing syndrome,Cough,Upper respiratory tract infection,Abnormal hair growth,Obesity,Nasopharyngitis (inflammation of the throat and nasal passages),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Inflammatory conditions,Treatment of Autoimmune conditions,Treatment of Cancer,,,"Gluco/mineralocorticoids, progestogins and derivatives",No,HORMONES,Glucocorticoids
1785,avemome 0.1% cream,Momesone Cream,Mfsone Cream,Ezimet Cream,Momesone Cream,Momate-XL Cream,Stinging sensation,Headache,Sore throat,Itching,Nosebleeds,Viral infection,Upper respiratory tract infection,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Skin conditions with inflammation & itching,,,,,"Gluco/mineralocorticoids, progestogins and derivatives",No,DERMA,Glucocorticoids
1824,alerkim 0.5mg tablet,Betamine Tablet,Histacort B 0.5mg Tablet,Betawin Forte 0.5mg Tablet,Betawin S 0.5mg Tablet,Cortil A 0.5mg Tablet,Reduction in bone density,Upset stomach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Allergic conditions,,,,,Glucocorticoids,No,RESPIRATORY,Glucocorticoids
1831,arnold 250mg injection,Sustain 250mg Injection,Tastenate Depot 250 Injection,Teston 250 Injection,Sustaviron 250 Injection,Retesto Injection,"Injection site reactions (pain, swelling, redness)",Acne,Voice change,Breast enlargement in male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Male hypogonadism,,,,,Androgens Derivative,No,SEX STIMULANTS REJUVENATORS,Androgens
1914,avemome 0.1% cream,Momesone Cream,Mfsone Cream,Ezimet Cream,Momesone Cream,Momate-XL Cream,Stinging sensation,Headache,Sore throat,Itching,Nosebleeds,Viral infection,Upper respiratory tract infection,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Skin conditions with inflammation & itching,,,,,"Gluco/mineralocorticoids, progestogins and derivatives",No,DERMA,Glucocorticoids
1937,alerkim 0.5mg tablet,Betamine Tablet,Histacort B 0.5mg Tablet,Betawin Forte 0.5mg Tablet,Betawin S 0.5mg Tablet,Cortil A 0.5mg Tablet,Reduction in bone density,Upset stomach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Allergic conditions,,,,,Glucocorticoids,No,RESPIRATORY,Glucocorticoids
1954,arnold 250mg injection,Sustain 250mg Injection,Tastenate Depot 250 Injection,Teston 250 Injection,Sustaviron 250 Injection,Retesto Injection,"Injection site reactions (pain, swelling, redness)",Acne,Voice change,Breast enlargement in male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Male hypogonadism,,,,,Androgens Derivative,No,SEX STIMULANTS REJUVENATORS,Androgens
1996,androfil gel,Testoheal Gel,Androgel,Androtas Gel,Cernos Gel,Androrise Gel,"Injection site reactions (pain, swelling, redness)",Acne,Voice change,Breast enlargement in male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Male hypogonadism,,,,,Androgens Derivative,No,SEX STIMULANTS REJUVENATORS,Androgens
2010,aquamet nasal spray,Megaspray Spray,Isomet-M Nasal Spray,Rhine M Nasal Spray,Mozapt 50mcg Nasal Spray,Momeprl Nasal Spray,Respiratory tract infection,Headache,Sore throat,Itching,Nosebleeds,Viral infection,Upper respiratory tract infection,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Skin conditions with inflammation & itching,,,,,"Gluco/mineralocorticoids, progestogins and derivatives",No,DERMA,Glucocorticoids
2037,acutrol 400 tablet,Phoscut 400 Tablet,Revlamer 400 Tablet,Acutrol C 400 Tablet,Forsemer 400mg Tablet,Selaglob 400mg Tablet,Nausea,Vomiting,Upper abdominal pain,Flatulence,Constipation,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, High phosphate levels in blood,,,,,Epoxide,No,OTHERS,Phosphorous binder
2072,attentrol 25mg capsule,Tomoxetin 25mg Capsule,Atexitine 25 Capsule,,,,Headache,Nausea,Vomiting,Sleepiness,Decreased appetite,Abdominal pain,Increased heart rate,High blood pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Attention deficit hyperactivity disorder (ADHD),,,,,Propylamine Derivative,No,NEURO CNS,Sympthatomimmetics-ADHD (Non stimulant)
2079,axepta 40mg tablet,Attera 40mg Tablet,Atonext 40 Tablet,Tomkid 40mg Tablet,,,Headache,Nausea,Vomiting,Sleepiness,Decreased appetite,Abdominal pain,Increased heart rate,High blood pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Attention deficit hyperactivity disorder (ADHD),,,,,Propylamine Derivative,No,NEURO CNS,Sympthatomimmetics-ADHD (Non stimulant)
2082,alpicno 5mg/5ml syrup,Galdom SP Syrup,Picowin 5mg/5ml Syrup,Picopil 5mg/5ml Syrup,Laxe 5mg/5ml Syrup,Picofast 5mg/5ml Syrup,Abdominal pain,Abdominal cramp,Abdominal discomfort,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Constipation,,,,,Diphenylmethane Derivative,No,GASTRO INTESTINAL,Stimulant laxatives/purgative
