id,name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,sideEffect5,sideEffect6,sideEffect7,sideEffect8,sideEffect9,sideEffect10,sideEffect11,sideEffect12,sideEffect13,sideEffect14,sideEffect15,sideEffect16,sideEffect17,sideEffect18,sideEffect19,sideEffect20,sideEffect21,sideEffect22,sideEffect23,sideEffect24,sideEffect25,sideEffect26,sideEffect27,sideEffect28,sideEffect29,sideEffect30,sideEffect31,sideEffect32,sideEffect33,sideEffect34,sideEffect35,sideEffect36,sideEffect37,sideEffect38,sideEffect39,sideEffect40,sideEffect41,use0,use1,use2,use3,use4,Chemical Class,Habit Forming,Therapeutic Class,Action Class
216025,tadaflo 10mg tablet,Tadasure 10mg Tablet,Tadacip 10mg Tablet,Tadact 10 Tablet,Tadafil 10mg Tablet,Yaw 10 Tablet,"Flushing (sense of warmth in the face, ears, neck and trunk)",Headache,Blurred vision,Muscle pain,Upset stomach,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Erectile dysfunction,,,,,Carboline Derivative,No,SEX STIMULANTS REJUVENATORS,Phosphodiesterase-V inhibitors
216044,tamfil s 30mg tablet,Zefcort 30mg Tablet,Defdil 30mg Tablet,Zomcort 30mg Tablet,Cortosept 30mg Tablet,Defta 30mg Tablet,Increased appetite,Weight gain,Frequent urge to urinate,Cushing syndrome,Cough,Upper respiratory tract infection,Abnormal hair growth,Obesity,Nasopharyngitis (inflammation of the throat and nasal passages),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Inflammatory conditions,Treatment of Autoimmune conditions,Treatment of Cancer,,,"Gluco/mineralocorticoids, progestogins and derivatives",No,HORMONES,Glucocorticoids
216068,torsinex 10 tablet,Torsinol  10 Tablet,Torvel 10 Tablet,TOR 10 Tablet,Meltor 10 Tablet,Torbel 10mg Tablet,Headache,Dizziness,Dehydration,Constipation,Decreased blood pressure,Upset stomach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Treatment of Edema,,,,Sulphamoyl derivatives,No,CARDIAC,High-ceiling Diuretics (Inhibitors of Na+-K+- 2Cl cotransport)
216073,tosti oral gel,,,,,,Reduction in bone density,Upset stomach,Increased risk of infection,Headache,Joint pain,"Injection site reactions (pain, swelling, redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Rheumatoid arthritis,Treatment of Osteoarthritis,,,,Glucocorticoids,No,DERMA,Glucocorticoids
216086,tibofem tablet,Sibolone Tablet,Tibomax 2.5mg Tablet,Maxtib Tablet,Livial Tablet,,Breast pain,Vaginal bleeding,Weight gain,Abnormal hair growth,Breast tenderness,Cervical thickening,Endometrial hyperplasia,Genital itching,Lower abdominal pain,Pelvic pain,Vaginal discharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hormone replacement therapy, Post menopausal osteoporosis,,,,Oxosteroids,No,GYNAECOLOGICAL,Estrogens
216116,tide 20 tablet,Torvigress 20 Tablet,Toraide 20mg Tablet,Torsilem 20mg Tablet,Orsamide 20mg Tablet,Meltor 20 Tablet,Headache,Dizziness,Dehydration,Constipation,Decreased blood pressure,Upset stomach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Treatment of Edema,,,,Sulphamoyl derivatives,No,CARDIAC,High-ceiling Diuretics (Inhibitors of Na+-K+- 2Cl cotransport)
216135,topinate gel,Clobefred Gel,Psoricort C Gel,Ranclob Advanced Adhesive Gel,,,Skin atrophy,Telangiectasia,Skin irritation,Dry skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Allergic skin conditions,,,,,"Gluco/mineralocorticoids, progestogins and derivatives",No,DERMA,Glucocorticoids
216155,tadasure 10mg tablet,Tadacip 10mg Tablet,Tadact 10 Tablet,Tadafil 10mg Tablet,Yaw 10 Tablet,Upwardz 10 Tablet,"Flushing (sense of warmth in the face, ears, neck and trunk)",Headache,Blurred vision,Muscle pain,Upset stomach,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Erectile dysfunction,,,,,Carboline Derivative,No,SEX STIMULANTS REJUVENATORS,Phosphodiesterase-V inhibitors
216187,tada 20mg tablet,Tadact 20 Tablet,Tadovas 20mg Tablet,Bigfun 36 Tablet,Upwardz 20mg Tablet,Xyorg 20mg Tablet,"Flushing (sense of warmth in the face, ears, neck and trunk)",Headache,Blurred vision,Muscle pain,Upset stomach,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Erectile dysfunction,,,,,Carboline Derivative,No,SEX STIMULANTS REJUVENATORS,Phosphodiesterase-V inhibitors
216254,tendrone 1% cream,Locort Cream,Sorias Cream,Urea HC Cream,Delster Cream,Drocort Cream,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Eczema, Severe allergic reactions,Treatment of Allergic conditions,Treatment of Cancer,Treatment of Skin disorders,Glucocorticoids,No,RESPIRATORY,Glucocorticoids
